Macro-secteur;Filière;Détail ;Année;Marchés d'investissements intérieurs (M€);Marché - Fabrication des équipements en France pour marché intérieur (M€);Marché - Importation des équipements (M€);Marché - Vente et distribution des équipements (M€);Marché - Construction, installation, raccordement (M€);Marché - Montage de projets, études, DPE (M€);Marché - Exploitation-maintenance, vente intérieure d'énergie (M€);Marché - Exportation (équipements et/ou biocarburants) (M€);Marché - Total (M€);Emplois liés aux investissements;Emploi - Fabrication des équipements pour marché intérieur (ETP);Emploi - Vente et distribution des équipements (ETP);Emploi - Construction, installation, raccordement (ETP);Emploi - Montage de projets, études, DPE (ETP);Emploi - Exploitation-maintenance, vente intérieure d'énergie (ETP);Emploi - Exportations (équipements et/ou biocarburants) (ETP);Emploi - Total (ETP)
EnR&R;Solaire photovoltaïque;;2022;4 187;287;2 346;0;1 443;111;5 447;10;9 644;14 040;1 310;0;12 180;550;4 220;40;18 300
EnR&R;Géothermie;;2006;435;61;17;89;268;0;49;43;527;3 020;410;910;1 700;0;730;290;4 040
EnR&R;Géothermie;;2007;491;47;51;99;294;0;55;94;640;3 270;250;1 120;1 900;0;760;500;4 530
EnR&R;Géothermie;;2008;528;86;23;104;315;0;61;39;628;3 520;370;1 220;1 930;0;780;170;4 470
EnR&R;Géothermie;;2009;405;89;11;74;231;0;57;8;470;2 980;470;1 090;1 420;0;780;40;3 800
EnR&R;Géothermie;;2010;377;53;50;60;213;1;61;17;455;2 640;340;970;1 320;10;820;110;3 570
EnR&R;Géothermie;;2011;408;49;47;60;250;2;73;31;512;2 520;310;750;1 450;10;860;200;3 580
EnR&R;Géothermie;;2012;372;45;37;50;237;3;78;34;484;2 190;300;620;1 250;20;910;240;3 340
EnR&R;Géothermie;;2013;316;39;30;43;202;2;93;21;430;1 670;260;430;960;20;990;150;2 810
EnR&R;Géothermie;;2014;303;33;28;34;203;5;92;17;412;1 500;210;340;920;30;1 020;120;2 640
EnR&R;Géothermie;;2015;354;48;22;32;243;9;96;14;464;1 860;300;310;1 200;50;1 080;110;3 050
EnR&R;Géothermie;;2016;346;48;22;30;237;9;112;17;475;1 720;270;270;1 120;60;1 250;120;3 090
EnR&R;Géothermie;;2017;346;42;21;32;243;8;133;16;495;1 760;250;310;1 150;50;1 380;110;3 250
EnR&R;Géothermie;;2018;358;41;26;34;250;7;143;20;521;1 710;220;330;1 110;50;1 510;120;3 340
EnR&R;Géothermie;;2019;305;31;23;30;215;6;153;10;468;1 460;180;280;970;30;1 610;70;3 140
EnR&R;Géothermie;;2020;254;30;23;27;170;4;158;7;419;1 310;170;260;860;20;1 710;50;3 070
EnR&R;Géothermie;;2021;214;25;19;26;141;3;165;4;383;1 060;120;230;690;20;1 750;20;2 830
EnR&R;Géothermie;;2022;158;24;5;24;102;3;166;2;326;820;120;210;470;20;1 780;10;2 610
EnR&R;Biogaz;Par méthanisation et ISDND;2006;30;6;6;0;15;3;19;0;49;150;30;0;100;20;140;0;290
EnR&R;Biogaz;Par méthanisation et ISDND;2007;44;9;9;0;22;4;22;0;66;210;40;0;150;20;160;0;370
EnR&R;Biogaz;Par méthanisation et ISDND;2008;74;15;15;0;37;7;36;0;110;380;70;0;270;40;180;0;560
EnR&R;Biogaz;Par méthanisation et ISDND;2009;116;23;23;0;58;12;52;0;168;640;130;0;430;80;210;0;850
EnR&R;Biogaz;Par méthanisation et ISDND;2010;116;23;23;0;58;12;69;0;185;600;110;0;410;80;320;0;920
EnR&R;Biogaz;Par méthanisation et ISDND;2011;146;29;29;0;73;15;85;0;231;690;120;0;470;100;360;0;1 050
EnR&R;Biogaz;Par méthanisation et ISDND;2012;181;36;36;0;91;18;109;0;290;910;160;0;620;130;410;0;1 320
EnR&R;Biogaz;Par méthanisation et ISDND;2013;214;43;43;0;107;21;137;0;351;1 030;190;0;690;150;450;0;1 480
EnR&R;Biogaz;Par méthanisation et ISDND;2014;263;53;53;0;131;26;161;0;424;1 260;230;0;850;180;520;0;1 780
EnR&R;Biogaz;Par méthanisation et ISDND;2015;217;43;43;0;109;22;206;0;423;1 060;190;0;720;150;580;0;1 640
EnR&R;Biogaz;Par méthanisation et ISDND;2016;179;36;36;0;89;18;268;0;447;850;160;0;570;120;640;0;1 490
EnR&R;Biogaz;Par méthanisation et ISDND;2017;299;60;60;0;149;30;321;0;620;1 360;240;0;910;210;690;0;2 050
EnR&R;Biogaz;Par méthanisation et ISDND;2018;546;109;109;0;273;55;392;0;938;2 440;440;0;1 620;380;780;0;3 220
EnR&R;Biogaz;Par méthanisation et ISDND;2019;836;167;167;0;418;84;483;0;1 319;3 700;680;0;2 450;570;870;0;4 570
EnR&R;Biogaz;Par méthanisation et ISDND;2020;994;199;199;0;497;99;614;0;1 608;4 790;910;0;3 160;720;1 150;0;5 940
EnR&R;Biogaz;Par méthanisation et ISDND;2021;913;183;183;0;456;91;828;0;1 741;4 400;840;0;2 900;660;1 360;0;5 760
EnR&R;Biogaz;Par méthanisation et ISDND;2022;1 085;217;217;0;541;110;1 186;0;2 271;5 230;990;0;3 440;800;1 560;0;6 790
